mix compile
-------------------------------------------------------------------
  time = 500 client requests seen = []
  time = 500      db updates done = []

server2-0001 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18340.147.0>, index: 0, server_num: 1, success: true}}
server2-0002 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server1"
server2-0002 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0002 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18343.147.0>, index: 0, server_num: 5, success: true}}
server2-0003 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server5"
server2-0003 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0003 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18341.147.0>, index: 0, server_num: 3, success: true}}
server2-0004 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server3"
server2-0004 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0004 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18342.147.0>, index: 0, server_num: 4, success: true}}
server2-0005 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server4"
server2-0005 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0005 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18340.147.0>, index: 0, server_num: 1, success: true}}
server2-0006 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server1"
server2-0006 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0006 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18341.147.0>, index: 0, server_num: 3, success: true}}
server2-0007 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server3"
server2-0007 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0007 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18342.147.0>, index: 0, server_num: 4, success: true}}
server2-0008 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server4"
server2-0008 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0008 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18343.147.0>, index: 0, server_num: 5, success: true}}
server2-0009 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server5"
server2-0009 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0009 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18340.147.0>, index: 0, server_num: 1, success: true}}
server2-0010 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server1"
server2-0010 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0010 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18341.147.0>, index: 0, server_num: 3, success: true}}
server2-0011 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server3"
server2-0011 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0011 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18342.147.0>, index: 0, server_num: 4, success: true}}
server2-0012 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server4"
server2-0012 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0012 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18343.147.0>, index: 0, server_num: 5, success: true}}
server2-0013 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server5"
server2-0013 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0013 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18340.147.0>, index: 0, server_num: 1, success: true}}
server2-0014 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server1"
server2-0014 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0014 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18341.147.0>, index: 0, server_num: 3, success: true}}
server2-0015 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server3"
server2-0015 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0015 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18342.147.0>, index: 0, server_num: 4, success: true}}
server2-0016 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server4"
server2-0016 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0016 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18343.147.0>, index: 0, server_num: 5, success: true}}
server2-0017 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server5"
server2-0017 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0017 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18340.147.0>, index: 0, server_num: 1, success: true}}
server2-0018 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server1"
server2-0018 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0018 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18341.147.0>, index: 0, server_num: 3, success: true}}
server2-0019 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server3"
server2-0019 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0019 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18342.147.0>, index: 0, server_num: 4, success: true}}
server2-0020 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server4"
server2-0020 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0020 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18343.147.0>, index: 0, server_num: 5, success: true}}
server2-0021 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server5"
server2-0021 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0021 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18340.147.0>, index: 0, server_num: 1, success: true}}
server2-0022 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server1"
server2-0022 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0022 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18341.147.0>, index: 0, server_num: 3, success: true}}
server2-0023 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server3"
server2-0023 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0023 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18342.147.0>, index: 0, server_num: 4, success: true}}
server2-0024 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server4"
server2-0024 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0024 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18343.147.0>, index: 0, server_num: 5, success: true}}
server2-0025 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server5"
server2-0025 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0025 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18340.147.0>, index: 0, server_num: 1, success: true}}
server2-0026 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server1"
server2-0026 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0026 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18341.147.0>, index: 0, server_num: 3, success: true}}
server2-0027 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server3"
server2-0027 role=LEADER    term=002 -arep "Count of entry committed = 1"
