mix compile
-------------------------------------------------------------------
server3-0001 role=LEADER    term=002 !inf "Become leader"
server4-0001 role=LEADER    term=004 !inf "Become leader"
server1-0001 role=LEADER    term=005 !inf "Become leader"
server2-0001 role=LEADER    term=006 !inf "Become leader"
server3-0002 role=LEADER    term=008 !inf "Become leader"
server5-0001 role=LEADER    term=009 !inf "Become leader"
server5-0002 role=LEADER    term=010 !inf "Become leader"
server2-0002 role=LEADER    term=011 !inf "Become leader"
server4-0002 role=LEADER    term=012 !inf "Become leader"
server2-0003 role=LEADER    term=013 !inf "Become leader"
server2-0004 role=LEADER    term=017 !inf "Become leader"
server5-0003 role=LEADER    term=018 !inf "Become leader"
server2-0005 role=LEADER    term=019 !inf "Become leader"
server4-0003 role=LEADER    term=020 !inf "Become leader"
server3-0003 role=LEADER    term=022 !inf "Become leader"
server2-0006 role=LEADER    term=024 !inf "Become leader"
server1-0002 role=LEADER    term=026 !inf "Become leader"
server4-0004 role=LEADER    term=028 !inf "Become leader"
server5-0004 role=LEADER    term=029 !inf "Become leader"
server2-0007 role=LEADER    term=031 !inf "Become leader"
server2-0008 role=LEADER    term=037 !inf "Become leader"
  time = 500 client requests seen = []
  time = 500      db updates done = []

server5-0005 role=LEADER    term=039 !inf "Become leader"
server4-0005 role=LEADER    term=041 !inf "Become leader"
server3-0004 role=LEADER    term=043 !inf "Become leader"
server2-0009 role=LEADER    term=050 !inf "Become leader"
server2-0010 role=LEADER    term=053 !inf "Become leader"
server3-0005 role=LEADER    term=054 !inf "Become leader"
server4-0006 role=LEADER    term=055 !inf "Become leader"
server4-0007 role=LEADER    term=057 !inf "Become leader"
server2-0011 role=LEADER    term=059 !inf "Become leader"
server3-0006 role=LEADER    term=061 !inf "Become leader"
server5-0006 role=LEADER    term=062 !inf "Become leader"
server2-0012 role=LEADER    term=067 !inf "Become leader"
server2-0013 role=LEADER    term=069 !inf "Become leader"
server2-0014 role=LEADER    term=072 !inf "Become leader"
server2-0015 role=LEADER    term=077 !inf "Become leader"
server4-0008 role=LEADER    term=079 !inf "Become leader"
server2-0016 role=LEADER    term=081 !inf "Become leader"
  time = 1000 client requests seen = []
  time = 1000      db updates done = []

server5-0007 role=LEADER    term=083 !inf "Become leader"
server4-0009 role=LEADER    term=089 !inf "Become leader"
server2-0017 role=LEADER    term=091 !inf "Become leader"
server4-0010 role=LEADER    term=093 !inf "Become leader"
server2-0018 role=LEADER    term=100 !inf "Become leader"
server4-0011 role=LEADER    term=101 !inf "Become leader"
server5-0008 role=LEADER    term=101 !inf "Become leader"
server3-0007 role=LEADER    term=102 !inf "Become leader"
server2-0019 role=LEADER    term=103 !inf "Become leader"
server4-0012 role=LEADER    term=105 !inf "Become leader"
server5-0009 role=LEADER    term=110 !inf "Become leader"
server2-0020 role=LEADER    term=111 !inf "Become leader"
server2-0021 role=LEADER    term=113 !inf "Become leader"
server4-0013 role=LEADER    term=115 !inf "Become leader"
server2-0022 role=LEADER    term=117 !inf "Become leader"
server4-0014 role=LEADER    term=119 !inf "Become leader"
server3-0008 role=LEADER    term=121 !inf "Become leader"
server3-0009 role=LEADER    term=125 !inf "Become leader"
  time = 1500 client requests seen = []
  time = 1500      db updates done = []

server4-0015 role=LEADER    term=128 !inf "Become leader"
server2-0023 role=LEADER    term=130 !inf "Become leader"
server1-0003 role=LEADER    term=132 !inf "Become leader"
server2-0024 role=LEADER    term=134 !inf "Become leader"
  time = 2000 client requests seen = [{1, 1}, {2, 101}]
  time = 2000      db updates done = [{1, 97}, {2, 96}, {3, 96}, {4, 96}, {5, 96}]

server3-0010 role=LEADER    term=136 !inf "Become leader"
server5-0010 role=LEADER    term=138 !inf "Become leader"
server2-0025 role=LEADER    term=141 !inf "Become leader"
server4-0016 role=LEADER    term=146 !inf "Become leader"
server1-0004 role=LEADER    term=147 !inf "Become leader"
